Company,Rating(5),Review_count,Domain,Location,No. of Employees,Years old
Life Insurance C...,4.4,1500,Private,Mumbai + 343 more,1 Lakh+ Employees (India),66
G4S,4.2,1500,Private,"Gurgaon/Gurugram,Haryana + 96 more",1 Lakh+ Employees (India),26
AFCONS Infrastru...,4.5,1500,Partnership,"Mumbai,Maharashtra + 71 more",5k-10k Employees (India),63
Cogent E Service...,3.4,1500,Private,"Noida,Uttar Pradesh + 27 more",10k-50k Employees (India),18
Voltas,4.1,1500,Public,"Mumbai,Maharashtra + 134 more",5k-10k Employees (India),68
R1 RCM,4.0,1400,Private,"Murray,Utah + 15 more",5k-10k Employees (India),19
Delhi Public Sch...,3.9,1400,Public,"Greater Noida,Uttar Pradesh + 203 more",1k-5k Employees (India),24
Persistent Syste...,4.2,1400,Public,"Pune,Maharashtra + 7 more",10k-50k Employees (India),32
I Process Servic...,4.0,1400,Private,"Mumbai,Maharashtra + 200 more",1k-5k Employees (India),17
Raymond,4.0,1700,Public,New York + 105 more,5k-10k Employees (India),97
Samsung Electron...,4.1,1400,unknown,Noida + 167 more,unknown,unknown
Access Healthcar...,4.1,1400,Private,"Dallas,Texas + 16 more",1k-5k Employees (India),11
Birla Sun Life I...,4.3,1400,Private,"Mumbai,Maharashtra + 272 more",10k-50k Employees (India),22
Exide Industries,3.8,1400,Public,"Kolkata,West Bengal + 159 more",1k-5k Employees (India),75
Aditya Birla Gro...,4.2,15500,unknown,"Mumbai,Maharashtra + 185 more",50k-1 Lakh Employees (India),165
Zensar Technolog...,3.9,1400,Public,"Pune,Maharashtra + 17 more",10k-50k Employees (India),31
ACT Fibernet,4.1,1400,Private,"Bengaluru/Bangalore,Karnataka + 32 more",5k-10k Employees (India),22
Micro Labs,3.8,1400,Private,"Bangalore/Bengaluru,Karnataka + 96 more",10k-50k Employees (India),49
BHEL,4.3,1400,Private,"Bangalore/Bengaluru,Karnataka + 83 more",10k-50k Employees (India),58
R.R. Donnelley,4.2,1400,Private,"Chicago,Illinois + 9 more",5k-10k Employees (India),158
NIIT Technologie...,3.5,1400,Public,"Noida,Uttar Pradesh + 77 more",5k-10k Employees (India),18
PVR Cinemas,4.2,1400,Public,Gurgaon + 89 more,5k-10k Employees (India),25
PepsiCo,4.2,1400,Private,"Harrison,New York + 174 more",1 Lakh+ Employees (India),33
United Phosphoru...,4.3,1400,Public,"Mumbai,Maharashtra + 111 more",5k-10k Employees (India),53
Walmart,4.2,11400,Private,"Bangalore/Bengaluru,Karnataka + 69 more",5k-10k Employees (India),13
Ajanta Pharma,4.0,1300,Public,"Mumbai,Maharashtra + 82 more",1k-5k Employees (India),49
Poonawalla Finco...,4.1,1700,Public,"Mumbai,Maharashtra + 243 more",5k-10k Employees (India),34
The Himalaya Dru...,4.2,1300,Private,"San Francisco,California + 149 more",1k-5k Employees (India),92
Renault-Nissan,4.1,1400,Private,"Chennai,Tamil Nadu + 62 more",10k-50k Employees (India),12
TVS Supply Chain...,4.1,1300,unknown,"Chennai,Tamil Nadu + 108 more",1k-5k Employees (India),126
Birlasoft,3.8,1300,Public,"Pune,Maharashtra + 23 more",10k-50k Employees (India),27
Cholamandalam MS...,4.0,1300,JV,"Chennai,Tamil Nadu + 264 more",50k-1 Lakh Employees (India),21
Emcure Pharmaceu...,4.1,1400,Private,Pune + 78 more,5k-10k Employees (India),41
Blue Star,4.1,1300,Public,"Mumbai,Maharashtra + 100 more",1k-5k Employees (India),79
HDFC Sales,4.1,1300,Private,"Mumbai,Maharashtra + 212 more",10k-50k Employees (India),18
Honda,4.2,4100,Private,"Greater Noida,Uttar Pradesh + 166 more",10k-50k Employees (India),37
Exide Life Insur...,3.7,1300,Private,"Bangalore/Bengaluru,Karnataka + 184 more",1k-5k Employees (India),21
Sterling & Wilso...,4.2,1300,Private,Mumbai + 67 more,5k-10k Employees (India),95
Tata Technologie...,3.5,1300,Private,Singapore + 31 more,5k-10k Employees (India),33
Britannia,4.2,1300,Public,"Reading,Reading + 160 more",5k-10k Employees (India),130
Mahindra Holiday...,3.8,1300,Private,"Chennai,Tamil Nadu + 86 more",5k-10k Employees (India),26
AGS Health,4.1,1300,Private,Washington DC + 20 more,5k-10k Employees (India),11
Sonalika Tractor...,3.9,1300,Private,"Hoshiarpur,Punjab + 119 more",1k-5k Employees (India),53
TVS Sundram Fast...,3.9,1300,Public,"Chennai,Tamil Nadu + 34 more",1k-5k Employees (India),56
café Coffee day,4.1,1300,Private,"Bengaluru,Karnataka + 79 more",10k-50k Employees (India),26
Dalmia Bharat Ce...,4.1,1300,Public,"Delhi/NCR,New Delhi + 136 more",5k-10k Employees (India),87
Big Bazaar,4.2,1300,Private,"Mumbai,Maharashtra + 148 more",10k-50k Employees (India),21
Shahi Exports,4.1,1300,Private,"Faridabad,Haryana + 49 more",1 Lakh+ Employees (India),48
Societe Generale,3.9,1300,Private,"Bangalore/Bengaluru,Karnataka + 13 more",1k-5k Employees (India),22
Mahindra Rural H...,4.2,1300,Public,"Mumbai,Maharashtra + 296 more",5k-10k Employees (India),15
Bhushan Power & ...,3.9,1300,Private,"Delhi/NCR,New Delhi + 48 more",10k-50k Employees (India),52
Legato Health Te...,4.1,1300,LLP,"Bangalore/Bengaluru,Karnataka + 8 more",5k-10k Employees (India),5
Johnson Controls,4.0,2000,Public,Cork + 50 more,5k-10k Employees (India),27
Lenskart,3.0,1300,Private,"Delhi,NCT + 99 more",1k-5k Employees (India),12
Ambuja Cements,4.0,1200,Public,"Mumbai,Maharashtra + 161 more",5k-10k Employees (India),39
Yazaki,4.0,1200,Private,"Tokyo,Tokyo + 46 more",10k-50k Employees (India),81
Force Motors,3.4,1200,Public,"Pune,Maharashtra + 72 more",1k-5k Employees (India),64
Indian Navy,4.6,1200,Private,"Delhi/NCR,Delhi + 56 more",50k-1 Lakh Employees (India),72
Force Motors,3.4,1200,Public,"Pune,Maharashtra + 72 more",1k-5k Employees (India),64
UNO Minda,4.1,1300,unknown,Gurgaon + 58 more,1k-5k Employees (India),64
Brakes India,4.2,1200,unknown,"Chennai,Tamil Nadu + 54 more",1k-5k Employees (India),60
Thomson Reuters,4.3,1300,Private,Toronto + 18 more,5k-10k Employees (India),14
IGT Solutions,3.6,1200,Private,"Gurgaon/Gurugram,Haryana + 17 more",5k-10k Employees (India),24
Wockhardt,4.1,1600,Public,"Mumbai,Maharashtra + 68 more",5k-10k Employees (India),23
TVS Credit Servi...,4.3,1200,Public,"Chennai,Tamil Nadu + 197 more",10k-50k Employees (India),14
Sobha,4.0,1200,Public,"Bangalore/Bengaluru,Karnataka + 34 more",1k-5k Employees (India),27
Shriram City,4.1,1200,Public,"Chennai,Tamil Nadu + 341 more",10k-50k Employees (India),36
Indiabulls,3.8,3900,Public,"Gurgaon/Gurugram,Haryana + 141 more",10k-50k Employees (India),22
JK Tyres,3.9,1200,Private,New Delhi + 107 more,1k-5k Employees (India),71
Saint-Gobain,4.1,1300,Private,Paris + 69 more,10k-50k Employees (India),357
Whirlpool,4.3,1200,Public,"Gurgaon/Gurugram,Haryana + 110 more",5k-10k Employees (India),20
Reliance SMSL,4.1,1200,Public,Mumbai + 306 more,1k-5k Employees (India),15
CG Power and Ind...,3.9,1200,Public,"Mumbai,Maharashtra + 87 more",1k-5k Employees (India),85
V-mart,4.4,1200,Public,"Gurgaon/Gurugram,Haryana + 190 more",5k-10k Employees (India),20
Indus Towers,4.1,1200,Private,"Gurgaon,Haryana + 97 more",5k-10k Employees (India),15
Tech Mahindra Bu...,3.6,1200,Public,"Mumbai,Maharashtra + 31 more",1k-5k Employees (India),19
Parle Agro,4.3,1200,Private,"Mumbai,Maharashtra + 131 more",1k-5k Employees (India),38
3i Infotech,3.7,1200,Public,"Mumbai,Maharashtra + 82 more",5k-10k Employees (India),29
DS Group,4.1,1300,Private,"Noida,Uttar Pradesh + 119 more",1k-5k Employees (India),93
GE,4.2,2800,Private,"Boston,Massachusetts + 53 more",10k-50k Employees (India),130
Shree Cement,4.3,1200,Public,"Kolkata,West Bengal + 131 more",5k-10k Employees (India),43
GVK Emergency Ma...,3.8,1200,Private,"Hyderabad/Secunderabad,Telangana + 103 more",10k-50k Employees (India),17
Paras Hospital,4.7,1200,Private,"Gurgaon/Gurugram,Haryana + 25 more",1k-5k Employees (India),16
Tata Motors Fina...,4.3,1200,Private,"Mumbai,Maharashtra + 202 more",1k-5k Employees (India),65
Reliance Trends,4.3,1200,Private,"Navi Mumbai,Maharashtra + 242 more",1 Lakh+ Employees (India),16
Bharti AXA Life ...,3.9,1200,Private,Mumbai + 194 more,5k-10k Employees (India),16
Datamatics Globa...,3.7,1600,Public,Mumbai + 23 more,1k-5k Employees (India),47
Sterlite Technol...,4.2,1100,Public,"Pune,Maharashtra + 52 more",5k-10k Employees (India),34
Lodha group,4.2,1100,Private,"Mumbai,Maharashtra + 17 more",1k-5k Employees (India),42
SRF,4.3,1700,Public,"Gurgaon/Gurugram,Haryana + 40 more",1k-5k Employees (India),52
Delphi TVS,4.0,1100,Private,"Kanchipuram,Tamil Nadu + 24 more",1k-5k Employees (India),33
Myntra,4.2,1100,Private,"Bangalore,Karnataka + 82 more",5k-10k Employees (India),15
BT Group,4.3,2400,Private,London + 12 more,10k-50k Employees (India),176
ICICI Securities,3.7,1100,Public,"Mumbai,Maharashtra + 98 more",5k-10k Employees (India),27
Gabriel India,4.3,1100,Public,"Pune,Maharashtra + 33 more",1k-5k Employees (India),61
IKS Health,3.5,1100,Private,"Mumbai,Maharashtra + 9 more",1k-5k Employees (India),15
Yamaha Motor,3.9,1200,Private,"Iwata,Shizuoka + 103 more",1k-5k Employees (India),15
Sigma Electric M...,3.9,1100,Private,"Garner,North Carolina + 18 more",1k-5k Employees (India),40
Endurance Techno...,3.8,1100,Public,"Aurangabad,Maharashtra + 28 more",1k-5k Employees (India),37
Grasim Industrie...,4.3,8500,Public,Nagda + 50 more,10k-50k Employees (India),75
Karvy Data Manag...,3.5,1100,Private,"Hyderabad/Secunderabad,Telangana + 88 more",1k-5k Employees (India),14
Hyatt Regency,4.3,1100,Private,"New Delhi,Delhi + 38 more",1k-5k Employees (India),42
Oberoi Group of ...,4.2,1100,Private,"Delhi/NCR,Delhi + 31 more",1k-5k Employees (India),88
Future Generali ...,4.0,1100,Private,Mumbai + 141 more,1k-5k Employees (India),15
Kansai Nerolac P...,3.9,1100,Public,"Mumbai,Maharashtra + 119 more",1k-5k Employees (India),102
BlackBuck,4.0,1100,Private,"Bangalore,Karnataka + 176 more",1k-5k Employees (India),7
Mahindra Logisti...,4.2,1100,Public,"Mumbai,Maharashtra + 91 more",1k-5k Employees (India),22
AXA Business Ser...,3.9,1100,Private,Paris + 5 more,1k-5k Employees (India),27
Kalpataru Power ...,4.1,1100,Public,"Mumbai,Maharashtra + 137 more",1k-5k Employees (India),41
Sopra Steria,4.2,1100,Private,"Paris,Ile-de-France + 9 more",5k-10k Employees (India),54
Extramarks Educa...,3.6,1100,Private,"Noida,Uttar Pradesh + 89 more",1k-5k Employees (India),15
Jet Airways,4.6,1100,Public,"Mumbai,Maharashtra + 48 more",10k-50k Employees (India),29
Tata Capital Fin...,4.3,1100,Public,Mumbai + 123 more,1k-5k Employees (India),15
Cadila Pharmaceu...,3.7,1100,Public,"Ahmedabad,Gujrat + 94 more",5k-10k Employees (India),71
Shell,4.4,1200,Public,"London,England + 72 more",10k-50k Employees (India),18
Lucas-TVS,4.0,1400,Private,"Chennai,Tamil Nadu + 46 more",5k-10k Employees (India),61
Bharat Petroleum,4.1,1100,Private,"Mumbai,Maharashtra + 178 more",50k-1 Lakh Employees (India),70
Piramal Group,4.1,1300,Private,Mumbai + 98 more,1k-5k Employees (India),42
CSS Corp,3.7,1100,Private,"San Jose,California + 20 more",5k-10k Employees (India),26
Coromandel Inter...,4.2,1100,Public,"Hyderabad/Secunderabad,Telangana + 126 more",5k-10k Employees (India),61
BA Continuum,4.4,1100,Private,"Gurgaon/Gurugram,Haryana + 11 more",10k-50k Employees (India),19
Info Edge,3.9,1700,Public,"Noida,Uttar Pradesh + 55 more",1k-5k Employees (India),27
Barclays,4.3,2600,Private,London + 22 more,10k-50k Employees (India),332
JCB,4.0,1100,Private,"Rocester,Staffordshire + 70 more",1k-5k Employees (India),77
Synechron,4.1,1400,Private,"New York,New York + 13 more",5k-10k Employees (India),21
Power Mech Proje...,3.8,1100,Public,"Hyderabad/Secunderabad,Telangana + 85 more",1k-5k Employees (India),15
Parle Products,4.1,1100,Private,Mumbai + 140 more,50k-1 Lakh Employees (India),93
Cybage,4.0,1100,Private,"Pune,Maharashtra + 5 more",5k-10k Employees (India),27
Blinkit,3.8,1100,Private,"Gurgaon,Haryana + 47 more",5k-10k Employees (India),9
ValueLabs,3.9,1100,Private,"Hyderabad/Secunderabad,Telangana + 11 more",5k-10k Employees (India),25
Taj Hotels Resor...,4.3,1100,unknown,"Mumbai,Maharashtra + 63 more",10k-50k Employees (India),119
Bureau Veritas,4.0,1100,Private,La Défense + 72 more,1k-5k Employees (India),194
MetLife,4.4,1100,Private,New York + 26 more,1k-5k Employees (India),14
Dell,4.2,2400,Private,"Round Rock,Texas + 75 more",10k-50k Employees (India),38
IDBI Bank,3.8,1900,Public,"Mumbai,Maharashtra + 237 more",10k-50k Employees (India),58
Narayana Health,4.3,1100,unknown,"Bangalore/Bengaluru,Karnataka + 49 more",10k-50k Employees (India),22
Syngene Internat...,3.9,1100,Public,"Bangalore/Bengaluru,Karnataka + 12 more",5k-10k Employees (India),29
Aircel,4.4,1100,Private,"Gurgaon/Gurugram,Haryana + 113 more",5k-10k Employees (India),23
Cromā,4.4,1100,Private,"Mumbai,Maharashtra + 73 more",1k-5k Employees (India),16
CMS Infosystems,3.8,1100,Private,"Mumbai,Maharashtra + 128 more",5k-10k Employees (India),14
Hindustan Aerona...,4.4,1000,Private,"Bangalore/Bengaluru,Karnataka + 34 more",10k-50k Employees (India),82
Aon,4.0,1100,Private,London + 15 more,10k-50k Employees (India),82
Metro,4.2,1000,Private,"Bangalore/Bengaluru,Karnataka + 54 more",1k-5k Employees (India),58
WABCO,4.0,1000,Public,Berne + 32 more,1k-5k Employees (India),53
Adani Wilmar,4.2,1000,Public,"Ahmedabad,Gujrat + 109 more",1k-5k Employees (India),34
XpressBees,4.1,1000,Private,"Pune,Maharashtra + 164 more",1k-5k Employees (India),7
Uflex,3.8,1100,Public,"Noida,Uttar Pradesh + 32 more",1k-5k Employees (India),39
Foxconn,4.1,1000,Private,Taipei + 28 more,10k-50k Employees (India),48
Renault Nissan T...,3.8,1000,unknown,Chennai + 11 more,5k-10k Employees (India),unknown
Square Yards,3.0,1000,Private,"Gurgaon,Haryana + 35 more",1k-5k Employees (India),9
RMSI,3.8,1000,Private,"Noida,Uttar Pradesh + 11 more",1k-5k Employees (India),30
Tata Play,4.2,1000,Public,"Mumbai,Maharashtra + 156 more",1k-5k Employees (India),16
ITC Hotels,4.1,1000,Public,"Kolkata,West Bengal + 66 more",5k-10k Employees (India),47
Dr Lal PathLabs,4.2,1000,Public,"Gurgaon/Gurugram,Haryana + 115 more",1k-5k Employees (India),73
AECOM,4.2,1000,Private,Dallas + 89 more,1k-5k Employees (India),32
Dainik Bhaskar G...,4.1,1000,Public,"Bhopal,Madhya Pradesh + 110 more",5k-10k Employees (India),64
Panasonic,4.1,2000,Private,"Kadoma,Osaka + 107 more",10k-50k Employees (India),104
Dell EMC,4.3,1000,Private,Hopkinton + 46 more,10k-50k Employees (India),43
Bharat Financial...,4.2,1000,Public,Hyderabad + 237 more,10k-50k Employees (India),24
Honeywell Automa...,4.0,998,Public,"Morris Plains,New Jersey + 48 more",10k-50k Employees (India),116
Ninjacart,3.6,998,Private,"Bangalore,Karnataka + 70 more",1k-5k Employees (India),7
Reckitt Benckise...,4.1,994,Private,"Slough,Slough + 97 more",1k-5k Employees (India),23
Canara HSBC Life...,3.8,992,Government,"Gurgaon/Gurugram,Haryana + 171 more",1k-5k Employees (India),14
Fujitsu,4.2,991,Private,"Bangalore/Bengaluru,Karnataka + 16 more",5k-10k Employees (India),87
Videocon d2h,3.9,987,Public,Mumbai + 133 more,501-1k Employees (India),13
Karvy Fintech,3.6,982,unknown,"Hyderabad/Secunderabad,Telangana + 70 more",1k-5k Employees (India),44
Akums Drugs & Ph...,4.1,1300,Private,"Delhi/NCR,New Delhi + 26 more",1k-5k Employees (India),18
Sify Technologie...,4.0,978,Private,"Chennai,Tamil Nadu + 73 more",1k-5k Employees (India),27
Vardhman Fabrics,4.1,977,unknown,Baddi + 50 more,10k-50k Employees (India),unknown
Hindustan Constr...,4.2,976,Public,"Mumbai,Maharashtra + 60 more",1k-5k Employees (India),96
Aragen Life Scie...,4.4,975,Private,"Hyderabad/Secunderabad,Telangana + 12 more",1k-5k Employees (India),22
Barclays Shared ...,4.3,975,Private,London + 9 more,5k-10k Employees (India),15
Aavas Financiers...,4.0,974,Public,"Jaipur,Rajasthan + 187 more",5k-10k Employees (India),11
FedEx Express,4.3,1200,Private,Moon Township + 85 more,5k-10k Employees (India),51
Max Fashion,4.3,963,Private,Abu Dhabi + 110 more,5k-10k Employees (India),8
Zomato,3.9,1000,Public,"Gurgaon,Haryana + 133 more",10k-50k Employees (India),14
Reliance General...,3.9,960,Private,"Mumbai,Maharashtra + 133 more",5k-10k Employees (India),22
Northern Trust O...,4.2,959,Private,"Bangalore/Bengaluru,Karnataka + 11 more",5k-10k Employees (India),17
Sony,4.4,1100,Public,"Delhi/NCR,Delhi + 114 more",1k-5k Employees (India),28
Microland,3.8,957,Public,Bangalore + 32 more,1k-5k Employees (India),33
Aforeserve,3.6,957,Private,"Noida,Uttar Pradesh + 125 more",1k-5k Employees (India),22
Procter & Gamble,4.2,1500,Public,"Cincinnati,Ohio + 171 more",10k-50k Employees (India),185
Johnson & Johnso...,4.3,1000,Private,"New Brunswick,New Jersey + 114 more",5k-10k Employees (India),65
Inox Leisure,4.1,953,Public,"Mumbai,Maharashtra + 79 more",1k-5k Employees (India),23
Verizon,4.3,980,Private,"New York City,New York + 9 more",5k-10k Employees (India),22
Jindal Stainless,4.2,1000,Public,"Delhi/NCR,New Delhi + 42 more",1k-5k Employees (India),52
Cisco,4.5,1100,Public,"San Jose,California + 27 more",10k-50k Employees (India),38
S&P Global,4.3,959,Public,"New York City,New York + 12 more",5k-10k Employees (India),105
Laurus Labs,4.4,945,Public,"Hyderabad/Secunderabad,Telangana + 7 more",1k-5k Employees (India),17
Adecco Group,4.0,946,Private,"Zurich,Zurich + 104 more",1k-5k Employees (India),23
DIVI'S Laborator...,3.7,943,Public,"Hyderabad/Secunderabad,Telangana + 12 more",10k-50k Employees (India),32
Exl India,3.9,943,unknown,New Delhi + 20 more,11-50 Employees (India),65
Cavinkare,4.1,943,Private,"Chennai,Tamil Nadu + 114 more",1k-5k Employees (India),39
SRL Diagnostics,4.1,947,Private,Mumbai + 109 more,1k-5k Employees (India),27
HERE Technologie...,4.0,942,Private,"Eindhoven,North Brabant + 10 more",1k-5k Employees (India),37
SAP,4.4,942,Private,"Walldorf,Baden-Württemberg + 27 more",10k-50k Employees (India),50
Kent RO Systems,3.7,941,Private,"Noida,Uttar Pradesh + 112 more",1k-5k Employees (India),23
Samsung India El...,4.1,941,unknown,Noida + 132 more,unknown,unknown
Angel One,4.0,939,unknown,Mumbai + 104 more,5k-10k Employees (India),unknown
Kotak Securities,3.8,937,Private,"Mumbai,Maharashtra + 94 more",5k-10k Employees (India),28
SGS,4.1,938,Private,"Geneva,Geneva + 77 more",1k-5k Employees (India),144
Mother Dairy Fru...,4.2,935,Private,"Noida,Uttar Pradesh + 91 more",1k-5k Employees (India),48
V-Guard Industri...,4.6,963,Public,"Kochi/Cochin,Kerala + 104 more",1k-5k Employees (India),45
Iksula,4.1,929,LLP,"Mumbai,Maharashtra + 115 more",201-500 Employees (India),15
USHA Internation...,4.3,954,Public,"Gurgaon/Gurugram,Haryana + 91 more",1k-5k Employees (India),88
Citibank,4.1,924,Private,"New York,New York + 41 more",10k-50k Employees (India),210
Xoriant,4.4,924,Private,"Sunnyvale,California + 14 more",1k-5k Employees (India),32
Intellect Design...,4.1,922,Public,"Chennai,Tamil Nadu + 22 more",1k-5k Employees (India),8
HCL Technologies...,3.7,922,Private,Noida + 32 more,1 Lakh+ Employees (India),22
Safexpress,4.2,1000,Private,"Delhi/NCR,Delhi + 112 more",1k-5k Employees (India),25
CMA CGM,4.1,1100,Private,"Marseille,Marseille + 23 more",501-1k Employees (India),44
Schindler Group,4.0,918,Private,"Ebikon,Lucerne + 61 more",1k-5k Employees (India),25
DHL Express,4.3,1700,Private,Bonn + 73 more,1k-5k Employees (India),43
Narayana Educati...,3.8,914,Private,"Hyderabad/Secunderabad,Telangana + 95 more",1k-5k Employees (India),37
Novartis,4.1,914,unknown,Hyderabad/Secunderabad + 54 more,unknown,unknown
Marriott Interna...,4.2,2300,Private,"Bethesda,Maryland + 62 more",10k-50k Employees (India),95
G R Infraproject...,4.2,913,Public,"Udaipur,Rajasthan + 100 more",10k-50k Employees (India),27
Ocwen Financial ...,4.2,912,Private,"West Palm Beach,Florida + 6 more",1k-5k Employees (India),34
Harman Connected...,3.9,910,Private,"Mountain View,California + 9 more",10k-50k Employees (India),21
Star Health & Al...,4.0,910,Private,"Chennai,Tamil Nadu + 189 more",10k-50k Employees (India),16
Philips,4.1,1500,Private,Amsterdam + 71 more,10k-50k Employees (India),92
NCR Corporation,4.0,911,Private,"Atlanta,Georgia + 57 more",5k-10k Employees (India),138
Toyota Kirloskar...,4.3,901,Private,"Bangalore/Bengaluru,Karnataka + 57 more",5k-10k Employees (India),25
Medanta the Medi...,4.2,900,Private,Gurgaon + 28 more,1k-5k Employees (India),13
Badve Engineerin...,3.9,900,Private,"Aurangabad,Maharashtra + 32 more",10k-50k Employees (India),26
Yash Technologie...,4.0,898,Private,"East Moline,Illinois + 13 more",5k-10k Employees (India),26
ElasticRun,3.9,898,Private,"Pune,Maharashtra + 206 more",1k-5k Employees (India),6
Bank of Baroda,3.8,1300,Private,"Vadodara/Baroda,Gujrat + 168 more",10k-50k Employees (India),114
